City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
134,Havoysund,NO,2020-08-17 23:28:13,71.0,24.66,46.4,87,75,25.28
135,Takoradi,GH,2020-08-17 23:28:14,4.88,-1.76,75.07,83,85,12.3
136,Rosetta,EG,2020-08-17 23:28:14,31.4,30.42,78.8,78,40,11.41
137,Cayenne,GF,2020-08-17 23:27:40,4.93,-52.33,80.6,78,76,5.82
138,Derzhavinsk,KZ,2020-08-17 23:28:15,51.1,66.32,55.45,79,55,10.31
139,Norman Wells,CA,2020-08-17 23:28:15,65.28,-126.83,60.8,55,75,9.17
140,La Baule-Escoublac,FR,2020-08-17 23:28:15,47.29,-2.36,60.8,87,3,4.7
141,Balakovo,RU,2020-08-17 23:28:15,52.03,47.8,51.6,76,0,7.2
142,Gat,IL,2020-08-17 23:28:15,31.61,34.76,75.0,47,0,1.68
143,Byron Bay,AU,2020-08-17 23:28:16,-28.65,153.62,64.4,45,0,11.41
144,Camacari,BR,2020-08-17 23:25:35,-12.7,-38.32,78.8,69,40,8.05
145,Santa Maria,BR,2020-08-17 23:28:16,-29.68,-53.81,57.2,76,0,3.36
146,Antofagasta,CL,2020-08-17 23:25:15,-23.65,-70.4,57.2,62,75,12.75
147,Belyy Yar,RU,2020-08-17 23:28:17,53.6,91.39,60.8,93,99,4.47
148,Hobyo,SO,2020-08-17 23:28:17,5.35,48.53,75.9,71,49,24.29
149,Garhi Khairo,PK,2020-08-17 23:28:17,28.06,67.98,97.93,43,18,11.01
150,Vardo,NO,2020-08-17 23:28:18,70.37,31.11,42.8,87,40,3.36
151,Aparecida Do Taboado,BR,2020-08-17 23:28:18,-20.09,-51.09,78.57,50,32,11.56
152,Nikolskoye,RU,2020-08-17 23:28:18,59.7,30.79,55.0,100,1,2.24
153,Bisira,PA,2020-08-17 23:28:18,8.52,-81.71,62.24,100,93,1.59
154,Den Helder,NL,2020-08-17 23:28:18,52.96,4.76,61.0,100,61,3.36
155,Ust-Kulom,RU,2020-08-17 23:28:19,61.69,53.69,49.17,97,100,5.5
156,Mahebourg,MU,2020-08-17 23:28:19,-20.41,57.7,69.8,77,20,9.17
157,Bonavista,CA,2020-08-17 23:28:19,48.65,-53.11,61.0,83,100,1.01
158,Port Alfred,ZA,2020-08-17 23:28:20,-33.59,26.89,53.11,74,58,31.32
159,Praia Da Vitoria,PT,2020-08-17 23:28:20,38.73,-27.07,75.2,83,40,20.29
160,Bengkulu,ID,2020-08-17 23:23:53,-3.8,102.27,74.93,89,30,4.14
161,Winnemucca,US,2020-08-17 23:28:21,40.97,-117.74,102.2,10,75,6.93
162,Hay River,CA,2020-08-17 23:28:21,60.82,-115.8,60.8,87,75,8.05
163,College,US,2020-08-17 23:28:21,64.86,-147.8,71.01,37,20,8.05
164,Hasaki,JP,2020-08-17 23:28:21,35.73,140.83,87.01,89,75,4.7
165,Kumi,KR,2020-08-17 23:28:21,36.11,128.34,80.6,88,1,1.12
166,Boguchany,RU,2020-08-17 23:28:22,58.38,97.45,50.65,68,5,4.05
167,Vysokogornyy,RU,2020-08-17 23:28:22,50.12,139.15,58.57,88,99,4.52
168,Ustikolina,BA,2020-08-17 23:28:22,43.58,18.79,60.8,100,5,2.39
169,Airai,TL,2020-08-17 23:28:22,-8.93,125.41,60.67,67,0,3.09
170,Mehamn,NO,2020-08-17 23:28:23,71.04,27.85,46.4,81,75,17.22
171,Hilo,US,2020-08-17 23:28:23,19.73,-155.09,84.2,62,75,11.41
172,Rongcheng,CN,2020-08-17 23:28:23,30.63,117.85,84.0,93,0,2.98
173,Peniche,PT,2020-08-17 23:28:23,39.36,-9.38,71.01,93,5,8.01
174,Petropavlovsk-Kamchatskiy,RU,2020-08-17 23:28:23,53.05,158.65,59.0,93,75,4.47
175,Sokolo,ML,2020-08-17 23:28:24,14.73,-6.12,89.24,49,93,6.73
176,Tambura,SS,2020-08-17 23:28:24,5.6,27.47,69.76,93,100,2.01
177,Kayerkan,RU,2020-08-17 23:28:24,69.35,87.76,51.8,62,0,6.71
178,Mount Isa,AU,2020-08-17 23:28:24,-20.73,139.5,71.6,19,0,11.23
179,Chuy,UY,2020-08-17 23:28:25,-33.7,-53.46,47.21,81,0,6.6
180,Boueni,YT,2020-08-17 23:28:25,-12.9,45.08,73.4,88,75,4.7
181,Evensk,RU,2020-08-17 23:28:25,61.95,159.23,56.98,42,70,5.57
182,Sioux Lookout,CA,2020-08-17 23:28:25,50.1,-91.92,69.8,46,40,9.17
183,Fairbanks,US,2020-08-17 23:28:25,64.84,-147.72,71.01,32,1,6.93
184,Safakulevo,RU,2020-08-17 23:28:26,54.99,62.54,52.32,94,95,12.73
185,Urengoy,RU,2020-08-17 23:28:26,65.97,78.37,56.52,91,86,6.22
186,Cabo San Lucas,MX,2020-08-17 23:25:35,22.89,-109.91,91.4,62,5,5.82
187,Victoria,HK,2020-08-17 23:28:12,22.29,114.16,82.0,78,91,4.0
188,Ushibuka,JP,2020-08-17 23:28:27,32.19,130.02,83.79,71,12,5.21
189,High Rock,BS,2020-08-17 23:28:27,26.62,-78.28,89.6,66,40,5.82
190,Jumla,NP,2020-08-17 23:28:27,29.27,82.18,62.55,70,62,0.58
191,Lagoa,PT,2020-08-17 23:28:27,39.05,-27.98,74.46,89,85,25.79
192,Bambanglipuro,ID,2020-08-17 23:28:28,-7.95,110.28,75.09,85,6,7.27
193,Kosonsoy,UZ,2020-08-17 23:28:28,41.26,71.55,69.8,83,90,2.24
194,Tura,IN,2020-08-17 23:28:28,25.52,90.22,74.57,97,88,5.32
195,Tessalit,ML,2020-08-17 23:28:29,20.2,1.01,93.43,35,17,6.29
196,Comodoro Rivadavia,AR,2020-08-17 23:24:10,-45.87,-67.5,48.2,31,0,26.4
197,Abbeville,FR,2020-08-17 23:28:29,50.1,1.83,60.01,73,51,6.06
198,Kaitangata,NZ,2020-08-17 23:28:29,-46.28,169.85,43.0,71,96,4.0
199,Djibo,BF,2020-08-17 23:28:30,14.1,-1.63,86.72,49,100,3.44
200,Liverpool,GB,2020-08-17 23:24:24,53.41,-2.98,63.0,88,95,4.7
201,Haines Junction,CA,2020-08-17 23:28:30,60.75,-137.51,50.38,84,100,3.69
202,Yerbogachen,RU,2020-08-17 23:26:59,61.28,108.01,51.71,62,0,1.74
203,Roald,NO,2020-08-17 23:28:31,62.58,6.13,60.01,93,0,9.17
204,Sitka,US,2020-08-17 23:26:01,57.05,-135.33,59.0,82,75,10.29
205,Seybaplaya,MX,2020-08-17 23:28:31,19.65,-90.67,86.0,74,20,11.41
206,Mnogovershinnyy,RU,2020-08-17 23:28:31,53.94,139.92,54.27,87,100,2.13
207,Zhezkazgan,KZ,2020-08-17 23:28:31,47.8,67.71,61.99,42,23,10.49
208,Bairiki,KI,2020-08-17 23:28:32,1.33,172.98,86.0,62,20,8.05
209,Atar,MR,2020-08-17 23:28:32,20.52,-13.05,99.97,25,0,9.86
210,Narsaq,GL,2020-08-17 23:28:32,60.92,-46.05,55.4,62,29,3.36
211,Daru,PG,2020-08-17 23:28:32,-9.08,143.21,77.5,74,11,12.17
212,Kihei,US,2020-08-17 23:28:32,20.79,-156.47,87.8,48,40,21.92
213,Sasovo,RU,2020-08-17 23:28:33,54.35,41.92,51.8,82,0,3.4
214,Kurilsk,RU,2020-08-17 23:28:33,45.23,147.88,54.43,88,95,8.77
215,Goderich,CA,2020-08-17 23:28:33,43.75,-81.72,75.0,75,55,9.08
216,Nyurba,RU,2020-08-17 23:28:33,63.28,118.33,52.45,62,0,0.98
217,Salinopolis,BR,2020-08-17 23:28:34,-0.61,-47.36,80.04,80,67,12.8
218,Hamilton,US,2020-08-17 23:26:01,39.18,-84.53,82.99,48,40,8.05
219,Innisfail,AU,2020-08-17 23:28:34,-17.53,146.03,73.99,59,79,3.0
220,Joshimath,IN,2020-08-17 23:28:34,30.57,79.57,69.19,61,91,0.54
221,Tambacounda,SN,2020-08-17 23:28:35,13.75,-13.76,84.2,83,91,2.24
222,North Platte,US,2020-08-17 23:28:26,41.12,-100.77,89.6,31,1,10.29
223,Paralimni,CY,2020-08-17 23:28:35,35.04,33.98,77.0,73,0,2.24
224,Saldanha,ZA,2020-08-17 23:28:35,-33.01,17.94,46.4,75,17,6.93
225,Half Moon Bay,US,2020-08-17 23:28:25,37.46,-122.43,87.01,42,75,11.41
226,Zyryanka,RU,2020-08-17 23:28:36,65.75,150.85,53.55,43,0,2.46
227,Olinda,BR,2020-08-17 23:28:36,-8.01,-34.86,78.8,74,20,11.41
228,Morant Bay,JM,2020-08-17 23:28:36,17.88,-76.41,86.0,70,75,10.29
229,Kununurra,AU,2020-08-17 23:28:36,-15.77,128.73,75.2,60,0,1.61
