City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
426,Alcaniz,ES,75.99,clear sky,41.05,-0.13,Hotel Ciudad de Alcañiz
427,Alofi,NU,84.2,broken clouds,-19.06,-169.92,Taloa Heights
429,Cape Canaveral,US,80.01,clear sky,28.41,-80.6,Residence Inn by Marriott Cape Canaveral Cocoa Beach
434,Kirakira,SB,85.37,light rain,-10.45,161.92,SanBiz Lodge
439,Rondonopolis,BR,84.27,few clouds,-16.47,-54.64,Serras Hotel
441,Havelock,US,78.01,clear sky,34.88,-76.9,Sherwood Motel
443,Canton,CN,87.01,scattered clouds,23.12,113.25,Guangzhou Hotel
445,Tomatlan,MX,76.6,light rain,19.93,-105.25,Norma franco
448,Limbe,CM,77.0,light intensity drizzle,4.02,9.21,The LK Hotel at Bonadikombo
450,Tambun,ID,82.99,haze,-6.26,107.07,@HOM Premiere Tambun
451,Monte Alegre,BR,81.54,scattered clouds,-2.01,-54.07,Hotel Shekinah
454,Auki,SB,87.6,broken clouds,-8.77,160.7,Auki Motel
455,Marawi,PH,78.01,overcast clouds,8.0,124.29,Salihmaruhom
456,Varca,IN,78.85,moderate rain,15.22,73.92,"Taj Exotica Resort & Spa, Goa"
465,Paralimni,CY,75.2,clear sky,35.04,33.98,Amore Hotel Apartments
468,Freetown,SL,75.96,moderate rain,8.48,-13.23,The Country Lodge Hotel
472,Porto Novo,BJ,75.2,scattered clouds,6.5,2.6,Tour Eiffel Hotel Benin
473,Buchanan,LR,77.0,broken clouds,5.88,-10.05,Kamaneahn Hotel Inc
474,Margherita,IN,80.6,haze,27.28,95.68,Dehing Guest House
475,Carutapera,BR,78.1,overcast clouds,-1.2,-46.02,Lidera
487,Matara,LK,79.79,light rain,5.95,80.54,Amaloh Boutique Resort
488,Hami,CN,80.71,overcast clouds,42.8,93.45,Laoyutang Resort
491,Marsa Matruh,EG,75.92,clear sky,31.35,27.25,Beau Site
492,Nago,JP,87.01,clear sky,26.59,127.98,Hotel Yugaf Inn Okinawa
494,Tateyama,JP,87.01,few clouds,34.98,139.87,Tateyama Seaside Hotel
496,Sinnamary,GF,79.75,light rain,5.38,-52.95,ALETHEIA Appartement Sinnamary
498,Coahuayana,MX,78.8,broken clouds,18.73,-103.68,Hotel Los Arcos
503,Sola,VU,82.4,broken clouds,-13.88,167.55,Leumerus Bungalows
504,Porto Tolle,IT,79.0,broken clouds,44.95,12.32,Klaus sas di Boscolo Claudio & c.
511,Baghdad,IQ,82.4,clear sky,33.34,44.4,Baghdad Hotel
513,Tevaitoa,PF,78.85,few clouds,-16.78,-151.5,Hôtel Raiatea Lodge
518,Port Keats,AU,80.87,broken clouds,-14.25,129.55,TDC Village (Hundred Man Camp)
519,Ghaziabad,IN,84.99,thunderstorm with light rain,28.67,77.43,SPOT ON 39684 Gold Inn SPOT
520,Matay,EG,75.07,clear sky,28.42,30.78,Nag Aespen
525,Bambanglipuro,ID,75.87,scattered clouds,-7.95,110.28,Puri Brata
527,Kaohsiung,TW,87.8,scattered clouds,22.62,120.31,Kindness Hotel
528,Hambantota,LK,77.0,few clouds,6.12,81.12,Bungalow 63
529,Mahibadhoo,MV,82.63,overcast clouds,3.78,72.97,Omadhoo Inn
535,Bandarbeyla,SO,78.01,clear sky,9.49,50.81,REER XOOSHLE GROUP
537,Chenghai,CN,82.4,scattered clouds,23.46,116.77,Guangdong Hotel
540,Riyadh,SA,80.6,broken clouds,24.69,46.72,InterContinental Riyadh
