City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
189,Grindavik,IS,63.84,-22.43,48.2,100,90,3.36,light intensity drizzle
190,Urambo,TZ,-5.07,32.05,66.43,52,98,5.35,overcast clouds
191,Bubaque,GW,11.28,-15.83,81.23,85,94,9.42,light rain
192,Kaitangata,NZ,-46.28,169.85,51.01,81,5,1.99,clear sky
193,Moyo,UG,3.66,31.72,64.45,95,59,1.36,broken clouds
194,Faanui,PF,-16.48,-151.75,78.42,77,30,22.73,light rain
195,Shu,KZ,43.6,73.76,63.99,29,0,4.47,clear sky
196,Jackson,US,42.42,-122.83,95.0,13,1,12.75,clear sky
197,Hilo,US,19.73,-155.09,82.4,65,90,11.41,overcast clouds
198,Codrington,AU,-38.27,141.97,49.87,84,91,13.56,light rain
199,Zhicheng,CN,30.3,111.5,77.0,92,100,5.7,light rain
200,Klamath Falls,US,42.22,-121.78,90.0,8,1,6.93,clear sky
201,Neman,RU,55.03,22.03,60.96,98,99,6.04,overcast clouds
202,Tambacounda,SN,13.75,-13.76,78.8,94,83,2.24,light rain
203,Richards Bay,ZA,-28.78,32.04,58.46,73,26,5.7,light rain
204,Andra,RU,62.51,65.89,52.34,96,100,4.32,light rain
205,Berlevag,NO,70.86,29.09,52.18,82,72,9.62,broken clouds
206,Mendi,PG,-6.18,143.65,69.4,57,4,2.26,clear sky
207,Atikokan,CA,48.76,-91.62,77.18,61,20,4.43,few clouds
208,Congonhas,BR,-20.5,-43.86,64.54,70,0,2.89,clear sky
209,Esperance,AU,-33.87,121.9,44.6,100,75,9.17,broken clouds
210,Haines Junction,CA,60.75,-137.51,62.11,41,100,2.68,overcast clouds
211,Ilulissat,GL,69.22,-51.1,51.8,40,26,2.24,scattered clouds
212,Tlanepantla,MX,18.85,-97.9,77.0,63,40,12.75,scattered clouds
213,Santa Maria,BR,-29.68,-53.81,53.6,62,12,4.7,few clouds
214,Cubarral,CO,3.79,-73.84,80.6,74,40,4.7,scattered clouds
215,Gravdal,NO,68.12,13.5,49.39,76,86,7.65,overcast clouds
216,Koutiala,ML,12.39,-5.46,76.91,85,100,5.5,moderate rain
217,Kloulklubed,PW,7.04,134.26,84.2,74,75,8.05,broken clouds
218,Aksu,CN,41.12,80.26,68.9,46,91,1.19,overcast clouds
219,Saint-Louis,SN,16.33,-15.0,84.2,74,100,2.24,overcast clouds
220,Guanare,VE,9.04,-69.74,76.59,89,100,2.64,light rain
221,Nanortalik,GL,60.14,-45.24,46.29,79,25,14.54,scattered clouds
222,Jardim,BR,-21.48,-56.14,63.39,88,100,8.61,light rain
223,Gigmoto,PH,13.78,124.39,81.97,76,94,3.29,overcast clouds
224,Burnie,AU,-41.07,145.92,51.01,59,28,11.01,scattered clouds
225,Yulara,AU,-25.24,130.99,51.8,43,1,4.7,clear sky
226,Allahabad,IN,25.45,81.85,82.9,76,85,9.28,overcast clouds
227,Aba,NG,5.11,7.37,77.0,94,75,3.36,broken clouds
228,Praya,CV,14.92,-23.51,78.8,74,20,9.17,few clouds
229,Alamogordo,US,32.9,-105.96,96.8,15,1,3.36,clear sky
230,Abha,SA,18.22,42.51,71.6,56,91,1.83,overcast clouds
231,Coihaique,CL,-45.58,-72.07,41.0,85,89,6.93,overcast clouds
232,Talnakh,RU,69.49,88.4,59.0,51,53,8.95,broken clouds
